firstName,lastName,email,phone,companyName,status,leadSource,industry,annualRevenue,numberOfEmployees,street,city,state,zipCode,country
Shelia,Becker,pjacobs@example.com,001-847-203-3896x95129,Munoz PLC,Lost,Email Campaign,Healthcare,2866786,203,676 Gutierrez Prairie Suite 420,Kathleenside,Idaho,94721,Kuwait
Brooke,Ellis,wellsbrian@example.org,590-471-0702x9316,Rich-Alexander,Contacted,Web,Finance,8253528,656,1542 Nunez Station Suite 585,New Stevenfurt,Maryland,96843,United States of America
Alexis,Lane,kathywong@example.com,001-437-797-8256x91456,Thomas LLC,Contacted,Web,Retail,3023535,791,5457 Sarah Overpass,South Jillville,Tennessee,27706,Guinea
Shannon,Chavez,laurieclark@example.net,+1-816-209-9784x553,Davis-Alexander,Converted,Referral,Healthcare,8260730,654,428 Kristen Wall Apt. 399,New Brookemouth,Maryland,62020,Lesotho
Laura,Gallagher,fflynn@example.org,3009923096,"Owen, Nunez and Lee",Converted,Social Media,Retail,2480812,29,622 Jenny Inlet Suite 683,North Matthew,Wyoming,52921,Indonesia
James,Taylor,curtis73@example.com,817-409-7858x827,"Graham, Williams and Lane",Lost,Email Campaign,Healthcare,5099889,755,290 Marie Oval Suite 454,Ponceside,Arizona,70021,Guadeloupe
Rachael,Holmes,lisajohnson@example.net,2009468030,Lee-Morgan,Lost,Social Media,Education,3293908,90,823 Rodriguez Prairie,Alanfort,Illinois,74767,Nicaragua
Angela,Nelson,jasonwheeler@example.com,001-991-749-9479x004,Hernandez-Atkins,New,Email Campaign,Finance,5075749,941,176 Acevedo Forge Suite 786,East Ian,New Hampshire,96473,Mauritius
Michael,Collins,brittanytucker@example.net,+1-747-652-2236x58654,Reese-Bowers,New,Referral,Retail,3148483,971,21641 James Crest Apt. 592,Victoriachester,South Dakota,7390,Mali
Jared,Huynh,nvalentine@example.net,001-913-216-8274x6153,Hill Ltd,Contacted,Web,Retail,8812132,813,468 Eileen Divide Apt. 255,Fishertown,Utah,96773,Zambia
David,Jackson,nicolewilliams@example.com,287-308-8070x5565,Perkins LLC,Lost,Advertisement,Healthcare,7389822,336,319 Callahan Shoals,North Heather,Georgia,15154,Aruba
Christopher,Stanley,shelbyperez@example.com,+1-924-264-8390x668,Fernandez and Sons,Lost,Social Media,Technology,8776038,163,366 Andrew Park Suite 008,Lake Davidhaven,Florida,96265,Zimbabwe
Clayton,Mills,dhart@example.net,518.312.8052x648,Stevenson-Herrera,New,Social Media,Technology,6480994,928,3124 Lee Lake Apt. 278,New Jennifer,California,79804,Comoros
James,Lewis,acevedochelsey@example.net,+1-925-209-1781x23913,Rodriguez LLC,Qualified,Referral,Retail,7208400,423,28827 Smith Knolls Apt. 144,Ronaldborough,New Jersey,53899,Chile
Brenda,Cole,qmiller@example.com,(659)538-4439x6783,Mcdaniel and Sons,Qualified,Referral,Education,8463302,348,133 Davis Centers,New Trevorstad,Vermont,1826,China
Michael,Collins,jennifer31@example.net,(422)458-3603x79104,"Lee, Thompson and Williams",New,Referral,Retail,4970909,985,33504 Nicole Locks Apt. 902,Nguyenshire,Minnesota,87302,Kazakhstan
Christopher,Day,chandlernicholas@example.org,387.211.4698x3419,Mills PLC,New,Advertisement,Education,3691910,113,8971 Gray River,West Dean,Wyoming,21148,Fiji
Billy,Arias,tpark@example.com,(910)896-0793,Copeland-Johnson,Contacted,Referral,Technology,5698419,351,42057 Fox Burg,Port Jefferyton,Colorado,6990,San Marino
Sarah,Mcgee,awood@example.net,339.951.6272x338,Morse-Morton,Converted,Advertisement,Healthcare,777064,808,71989 Smith Turnpike Apt. 103,North Rodney,Tennessee,2452,Japan
Kathleen,Burnett,ucallahan@example.org,001-298-222-2696x88750,Miller Ltd,Lost,Web,Finance,727108,189,07187 Arroyo Port Suite 670,Port Jasmine,New Jersey,73125,Trinidad and Tobago
Samantha,Costa,robertford@example.net,366-604-4456,"Tucker, Thomas and Mejia",Contacted,Web,Education,7093952,480,40548 Brett Tunnel Suite 664,Lake Dakota,Alabama,53954,Austria
Justin,Barr,dianayoung@example.org,(780)246-8086x503,Travis Inc,Converted,Referral,Retail,5288075,906,8316 Smith Turnpike Apt. 618,Curryhaven,Pennsylvania,24955,Burundi
Anthony,Jones,lori01@example.net,827-508-5418x972,Owen-Miller,Contacted,Advertisement,Healthcare,3588602,466,3826 Allen Stream Suite 516,Brendaview,North Carolina,14620,Belgium
Christopher,Ortiz,fuentesstacey@example.net,(271)429-5011,Bryant Group,Converted,Web,Healthcare,1302513,519,085 Acosta Mill Apt. 208,Joannashire,North Dakota,83252,Austria
Jacob,Schwartz,osmith@example.org,001-665-840-7206x0136,"Kelly, Smith and Johnson",Converted,Referral,Education,7423978,110,898 Judith Skyway Apt. 696,New Jennifer,Colorado,35934,Heard Island and McDonald Islands
Monica,Miranda,melanie35@example.com,763-895-8134,"Torres, Hartman and Hernandez",Contacted,Referral,Education,1007801,676,891 Susan Park Suite 800,Pamelastad,Oklahoma,64649,Cook Islands
Taylor,Mathews,georgegreen@example.org,241-872-6345,Little-Torres,Contacted,Web,Finance,5042236,884,527 Jose Ferry Apt. 448,Michaelstad,Kansas,42224,Pakistan
Justin,Duncan,olopez@example.org,771.273.2485,Martinez-Powell,Lost,Email Campaign,Retail,9813500,633,3756 Barbara Knoll,Susanborough,Montana,75682,Swaziland
Michael,Baird,iberry@example.com,777.683.4226x82925,Adams-Kelly,New,Web,Technology,2004815,225,5113 Elizabeth Bypass Apt. 593,New Hannah,Vermont,92846,Estonia
Shannon,Briggs,julie04@example.org,001-978-868-2955x74556,Miller Group,Converted,Referral,Retail,5309404,17,062 Lewis Key,Brownhaven,Massachusetts,79689,Panama
Stephen,Wilson,wendy14@example.com,+1-655-442-9484x297,Simon-Bean,Converted,Social Media,Education,5754324,613,9831 Kevin Forge,Dunnport,Wyoming,78992,Fiji
Justin,Lane,esmith@example.org,(535)976-2655x5158,"Hurst, Mitchell and Cisneros",Contacted,Referral,Healthcare,1553256,601,668 Armstrong Extensions Apt. 044,Jasonbury,Delaware,87211,Italy
April,Holt,hollygardner@example.org,829-383-2344,Davis LLC,Qualified,Advertisement,Education,9295886,157,0303 Dawn Crossroad Apt. 248,Port Sydneyside,Alaska,34887,Botswana
Amy,Giles,colinjohnson@example.com,203-645-0009x5295,Anderson-Mahoney,New,Advertisement,Finance,6798370,725,34197 Martin Harbor,Elizabethview,Virginia,42480,Sierra Leone
Laurie,George,dennisgary@example.org,001-460-733-1860,Downs PLC,Lost,Social Media,Technology,1809488,294,4743 Christina Vista,New Dillon,Missouri,98222,Belarus
Jessica,Taylor,xvincent@example.net,+1-526-868-9960x49934,Rubio LLC,Converted,Referral,Retail,484512,2,323 Brenda Canyon,East Catherineview,Nevada,97644,Oman
Michael,Snyder,ofrye@example.org,+1-309-229-7038x601,"Powell, Juarez and Carter",Qualified,Referral,Technology,2731664,151,86544 Rojas Brook,Lake Tina,New Hampshire,14824,India
Matthew,Ray,ana26@example.org,(392)349-1605,"Brown, Dunlap and Hill",Lost,Email Campaign,Retail,6274244,200,79235 Jared Common Apt. 710,Jonathanshire,Massachusetts,81354,Dominica
Holly,Petersen,barnesjacqueline@example.net,-4174,Rowe-Freeman,Converted,Referral,Education,6088366,636,69770 Wade Plains,Lake Jacqueline,South Carolina,23830,Nauru
Steven,Jones,lmoore@example.net,+1-918-200-1389x64840,Phillips Group,Lost,Referral,Finance,5412349,110,14698 Woods Run Apt. 696,West Melissa,Kansas,6868,Faroe Islands
Jennifer,Miller,travisscott@example.com,714-279-6926x42678,"Rios, Baker and Thomas",Contacted,Referral,Retail,2397534,827,4205 Edwards Springs Apt. 667,West Dennisview,South Dakota,93185,Argentina
Nicholas,Walker,williamsstephanie@example.com,001-557-619-6893,White-Davis,New,Advertisement,Retail,8602771,203,8381 Linda Run,Waterstown,Iowa,90077,Cocos (Keeling) Islands
Ryan,Watson,spencerscott@example.com,625.983.9404,"Chavez, Gibson and Stout",Contacted,Email Campaign,Finance,71838,57,61714 Rice View,Hartchester,Mississippi,10483,Taiwan
Damon,Thompson,basswendy@example.com,473-293-8345x612,Donaldson Ltd,Contacted,Advertisement,Education,2608594,26,56491 Johnny Fords,East Mikayla,Tennessee,12523,Albania
Shelly,Oneill,wileymaureen@example.org,(860)551-8658,"Dunn, Miller and Johnson",Converted,Advertisement,Finance,2526182,453,364 Allen Brook Apt. 838,Lake Catherine,Nevada,38213,United Arab Emirates
Richard,Lopez,patricia60@example.org,620.447.5286,"Vaughn, Dixon and Bradley",Lost,Referral,Healthcare,7371303,535,3583 Cook Greens,Dixonbury,Tennessee,87740,Macao
Michael,Miller,kathycortez@example.com,001-509-269-8684,Duncan Ltd,Qualified,Web,Finance,9780699,287,564 Ramirez Island,Lake Melissaside,California,52344,Latvia
Damon,Baxter,carolbowen@example.net,001-532-210-4809,"Kelley, Gonzalez and Huber",New,Referral,Technology,2639560,361,3685 Jessica Inlet Apt. 713,North Carolyn,Louisiana,96209,Guam
Heather,Burke,williamturner@example.org,001-911-746-9190x2274,Osborn-Foster,Lost,Advertisement,Finance,832868,100,5828 Dustin Harbor Apt. 469,Luismouth,Texas,76849,Saint Kitts and Nevis
Alicia,Johnson,bphillips@example.org,576-987-9136x2308,Watkins Ltd,Lost,Referral,Education,1646887,375,89837 Kelly Terrace,North Bradley,Ohio,89180,Christmas Island
Ann,Hood,fitzgeraldandre@example.com,209.420.5101x420,"Stephens, Parker and Lee",Lost,Referral,Technology,6646804,980,141 David Mount,North Brian,Hawaii,55681,Grenada
Jon,Allen,mandy30@example.org,3288511977,"Carrillo, Wright and Potts",Lost,Advertisement,Education,6178575,994,421 Morrison Keys Suite 368,North Connie,Iowa,42899,Saint Lucia
Charles,Sanders,qmartinez@example.com,665.388.4062,Walker-Powell,Lost,Advertisement,Technology,1842543,257,789 Steele Port,New Jaimeberg,Idaho,44312,Netherlands
Patricia,Anderson,nicole77@example.com,2205654179,Olson-Pena,New,Email Campaign,Technology,6160002,858,3233 Bradshaw Square,Youngmouth,California,73465,Korea
Jonathan,Lindsey,quinndawn@example.com,6692867609,"Fisher, Warren and Hernandez",Converted,Advertisement,Education,3730079,278,79316 Trevor Glen Suite 877,East Andrea,Rhode Island,74326,Sierra Leone
Amanda,Pena,emmakim@example.net,299-461-1937,"Rich, Rodgers and Rivera",New,Social Media,Retail,1632545,468,5894 Elijah Corners,Beckymouth,Louisiana,81652,Lesotho
Norma,Collier,williamolsen@example.org,+1-435-577-5445x4640,Callahan-Hudson,Lost,Email Campaign,Healthcare,6695670,327,926 John Isle,Jamiebury,Minnesota,28131,Russian Federation
Crystal,Pitts,brandonpeterson@example.com,8699964204,"Cochran, Wright and Esparza",New,Web,Retail,8433744,758,530 Karen Shores,West Andreastad,New York,98274,Kyrgyz Republic
Deanna,Jones,emily98@example.org,001-440-211-0983x825,Davis and Sons,Converted,Web,Education,565329,494,90683 Williams Fields Apt. 315,North Victoriatown,Wyoming,1864,Cook Islands
Kelly,Little,andreawilliams@example.com,7036172392,Hurst LLC,Lost,Web,Technology,4948510,413,39345 Guzman Vista Suite 824,Cynthiamouth,North Carolina,34837,Liechtenstein
Daniel,Newton,joshuaanderson@example.org,426.992.2981,Love-Meyer,Qualified,Referral,Education,8678461,243,1142 Edward Parkway Suite 393,Butlerbury,Iowa,49043,Denmark
James,Vaughan,kristen06@example.com,318.384.7961,"Graves, Petersen and Hudson",Converted,Email Campaign,Technology,2791721,804,023 Christopher Union Apt. 794,South Lisa,Alabama,71120,Belize
Amber,Cox,edeleon@example.org,-4341,"Bullock, Collins and Bridges",Qualified,Advertisement,Retail,9251477,997,58927 Megan Plain,Port Vickie,California,6771,Suriname
Tracy,Morrison,aprilgross@example.org,(781)734-8701x81587,Kerr-Case,Contacted,Advertisement,Education,5860703,11,4256 Taylor Hills,Nancybury,Iowa,11083,Haiti
Zoe,Howell,kingjessica@example.com,524.873.7864x289,"Edwards, Ward and Pratt",Lost,Referral,Retail,4692022,396,28428 Parks Light Apt. 418,Tabithaland,Indiana,17876,Angola
Johnathan,Tran,grobinson@example.org,001-840-768-6302x3347,"Gonzales, Collins and Cole",Converted,Referral,Healthcare,3856998,582,893 Rose Extensions Suite 837,East Dustinshire,South Carolina,94543,San Marino
Kirk,Hoover,calvin65@example.org,001-470-261-7267x4113,Kirby Group,Converted,Web,Education,3723930,363,8267 Heather Route Apt. 329,Lake Cherylmouth,Michigan,7196,Solomon Islands
Samantha,Williams,walkereric@example.org,426.958.3277,"Mercado, Fox and Pace",New,Email Campaign,Technology,6184555,143,3100 Lindsey Parks Apt. 238,Rodriguezborough,Georgia,90905,Cameroon
Dakota,Smith,hwong@example.org,(249)213-3440x7389,Castillo-Bush,Converted,Referral,Healthcare,1356344,48,45509 Frank Avenue Suite 616,North Pamela,Pennsylvania,71285,Mexico
Shannon,Summers,xgarcia@example.com,433-816-3410,Hall-Flores,Qualified,Advertisement,Finance,455637,299,87053 David Route Apt. 191,Evansmouth,Kentucky,54698,Zimbabwe
Dylan,Fernandez,andrewcline@example.org,8175004113,Jones-Snyder,Contacted,Web,Healthcare,4896590,148,511 Berg Crescent,West Nancy,Maine,70355,Equatorial Guinea
Norman,Black,wallacebrandon@example.org,924.504.2603x580,Nichols-Grimes,Contacted,Web,Technology,724903,418,89961 Stephanie Cape,West Jaimeville,Pennsylvania,1234,Australia
Jose,Moore,louis45@example.com,001-548-341-9807x9877,"Davis, Ramsey and Johnson",Converted,Advertisement,Finance,2208740,60,169 Duke Light Suite 916,New Bethany,California,77453,Austria
Alex,Rogers,morakimberly@example.net,628.469.7734,Simmons Group,Converted,Email Campaign,Education,2446409,966,117 Lopez Forest Apt. 460,East Emma,New York,18849,Netherlands
Christina,Ryan,megan24@example.net,220-869-4573x73729,Long Ltd,Qualified,Email Campaign,Education,2085454,786,4411 Johnson Turnpike,New Eugeneburgh,Wyoming,54730,Ukraine
James,Armstrong,gday@example.org,722.557.1897,Lopez-Brown,Contacted,Web,Finance,2926817,882,74637 Carl Ways Apt. 142,Grayburgh,Arkansas,19225,Antarctica (the territory South of 60 deg S)
Kristen,Bell,ghess@example.net,346.644.4807x9315,Morris Inc,Lost,Email Campaign,Education,4415771,837,245 Gregory Groves,Lake Nicholas,North Dakota,22433,Venezuela
Mercedes,Grant,ryan97@example.com,970.370.2315,"Blankenship, Hardin and Jones",New,Web,Finance,5127871,825,45551 Johnson Keys Suite 244,East Carolyn,Maine,19654,Sierra Leone
Marilyn,Henry,enovak@example.net,494.709.5753x910,Martin PLC,Converted,Email Campaign,Finance,6000713,302,646 Blackburn Locks Suite 378,Lake Scottland,Mississippi,26393,Greenland
Nicole,Short,cameron36@example.net,380.454.3268x97893,Wright-Jones,Converted,Web,Retail,7292973,136,375 Miller Mill Suite 235,Robertburgh,South Dakota,95430,Hong Kong
Daniel,Rodriguez,nperez@example.org,685.727.7833x8499,Cole and Sons,Converted,Advertisement,Technology,6230981,298,52523 David Knolls,Smithland,New Jersey,51320,Burundi
Mark,Wagner,wrightdeborah@example.org,(788)579-8747x22276,Lewis-Mcguire,New,Social Media,Education,8422430,216,95258 Ronald Mews,New Sandrastad,Pennsylvania,53584,Slovenia
Emily,Acosta,brandy54@example.net,901-983-1960,Gomez-Brown,Converted,Referral,Healthcare,5050478,793,2733 Brandon Plaza,Lake Gerald,Minnesota,8010,Singapore
Dan,Myers,mirandaroger@example.org,397.258.6764x3725,Myers PLC,Contacted,Social Media,Retail,3096045,30,556 Porter Estates,Port Douglasburgh,Mississippi,53352,Slovenia
Tammy,Horton,bernardkara@example.net,(938)599-7162,Massey-Ramirez,Converted,Referral,Finance,2804241,675,44436 Hardy Squares,Karenton,Missouri,87273,Guadeloupe
Kara,Jones,sheripage@example.net,2655074727,"Morales, Diaz and Carlson",Lost,Advertisement,Technology,2800911,587,75295 Vasquez Creek Apt. 077,New Julie,Michigan,96410,Central African Republic
Brandon,Garcia,ncooper@example.net,001-983-829-0773x511,Jones Ltd,New,Web,Finance,5571598,780,2512 Miller Trafficway,Duanefort,Kentucky,1697,Kiribati
Max,Salazar,john51@example.org,201.889.1435,Morales and Sons,Converted,Social Media,Finance,3636938,270,65605 Black Islands Suite 840,Lewisland,Washington,14725,Angola
Nancy,Li,loganschultz@example.org,545-309-5285,"Taylor, Fowler and Banks",Lost,Email Campaign,Healthcare,9733942,282,99954 Amanda Viaduct,East Shannon,Minnesota,76294,Cayman Islands
Billy,Cain,kclay@example.com,001-948-566-6110x645,Shaw Group,Lost,Referral,Healthcare,5188896,381,896 Jackson Lock,East Mark,Hawaii,33477,Mongolia
John,Jimenez,evansdarrell@example.com,989-995-8387x971,Zamora-Hart,New,Web,Education,2224032,103,237 Molly Ramp Suite 089,East Christopherville,Louisiana,54319,United States of America
Gerald,Peterson,ystewart@example.com,363.744.7004,Brown-Edwards,Qualified,Email Campaign,Technology,9821031,317,340 Danielle Knolls,South Lisaborough,Minnesota,32760,Panama
Andrea,Bowers,gutierrezstephanie@example.org,+1-933-433-4576x8262,Mills Ltd,Contacted,Web,Retail,9639253,805,5378 Bryan Drive Apt. 322,Andersonstad,South Dakota,84920,Canada
Shelly,Weaver,wschroeder@example.net,+1-640-254-3943x9035,"Thompson, Sanders and Hinton",Lost,Advertisement,Education,975348,930,90130 Williams Stream Apt. 041,Lake Abigail,South Dakota,11063,Netherlands
Johnny,Hopkins,kylewest@example.net,3673937134,"Austin, Smith and Powell",Qualified,Email Campaign,Finance,7729913,770,34537 Dunlap Unions Suite 816,Phillipsland,North Carolina,88264,Philippines
Lisa,Price,bgrant@example.net,001-208-826-2908x016,Delacruz Inc,Contacted,Web,Finance,9454382,443,5307 Rosales Throughway,East Jodi,New Mexico,84522,Cayman Islands
Steven,Jones,qmullins@example.org,001-938-241-4619x83968,West-Carlson,Contacted,Email Campaign,Finance,5766528,37,3632 John Villages,Curryshire,Indiana,98156,Greenland
Spencer,Reed,sotojoshua@example.net,001-643-571-0140x9925,"Rivera, Cox and Rose",Qualified,Advertisement,Technology,2518697,934,65639 Bishop Station,South Darius,Arkansas,66439,Solomon Islands
James,Brown,joshuabennett@example.com,001-616-613-3971x809,"Rogers, Chandler and Thomas",Converted,Advertisement,Retail,8937222,601,00111 Bautista Crossing Suite 761,North Donna,Kentucky,35604,Niue
Elizabeth,Hinton,amythomas@example.org,545-991-8171x50639,"Smith, Baldwin and Stone",Converted,Social Media,Healthcare,9190354,987,0096 Steven Course,Leeshire,New Hampshire,35940,Madagascar
Luke,Smith,shannon09@example.org,(574)688-6876x416,Pearson LLC,Qualified,Advertisement,Education,2796180,847,43274 Lewis Spring,Port Matthew,Louisiana,7790,Tajikistan
Helen,Brown,eric69@example.net,971-390-7138x496,Schneider-Mason,Lost,Referral,Healthcare,4373361,643,6099 Rivas Crest Apt. 856,Priceshire,New Jersey,29330,United States Virgin Islands
Vincent,Hall,bryan18@example.net,904.953.5979x5782,"Wright, Heath and Shepherd",New,Email Campaign,Healthcare,6236507,360,427 White Radial Suite 948,Michaelport,Georgia,27548,Belgium
Katherine,Hines,janicewalker@example.net,450-211-5141x92600,Mccarthy PLC,Lost,Social Media,Education,4940129,234,60633 Jessica Motorway Suite 520,Taylorberg,Tennessee,50665,India
Paul,Rios,lhogan@example.net,982-309-9210x2919,Thompson-Page,Contacted,Web,Education,1609202,32,752 Courtney Squares Suite 895,Lake Julianborough,Washington,11348,Morocco
Stephanie,Mathis,nancyrice@example.com,+1-996-304-0979x142,"Gibbs, Lopez and Santiago",Lost,Social Media,Education,2568930,400,1828 Bill Passage Apt. 083,South Cynthia,Iowa,64514,Australia
Bradley,Freeman,urodriguez@example.com,916.880.9915,"Miller, Obrien and Bolton",Contacted,Advertisement,Technology,6203920,296,46209 Sarah Cliff,Brooksville,Oregon,50816,Djibouti
Julie,Mueller,yangdavid@example.com,(934)939-7946,"Thomas, Coleman and Greer",Contacted,Referral,Retail,7077729,891,015 Timothy Groves,New Julia,Maine,79408,Slovenia
Michael,Russell,garciajessica@example.org,001-906-661-3544,Montgomery Group,New,Referral,Education,533264,393,373 James Divide Suite 299,Austintown,California,41987,Burkina Faso
Ruth,Brown,james63@example.net,001-697-839-3792x37349,Glover-Randall,Contacted,Web,Healthcare,1293432,706,15346 Lisa Bridge Suite 928,Harrisborough,Florida,32723,United States Virgin Islands
Michelle,Rodriguez,brenda37@example.net,444-477-7686x98889,Stone and Sons,New,Email Campaign,Technology,7892819,786,9063 Howard Ridge Suite 146,New Melanie,Hawaii,62168,Cambodia
Katie,Davis,tyler20@example.net,2894414450,Cochran Ltd,New,Advertisement,Education,937209,261,70314 Blake Plains,North Antonio,Wisconsin,54257,Equatorial Guinea
Tyler,Myers,robert68@example.org,001-610-884-0604,Mclean-Riley,Contacted,Referral,Technology,7758518,900,48326 John Port Apt. 016,Schmidtmouth,Nebraska,65689,Japan
Michael,Hernandez,ujones@example.org,001-723-254-1158x870,Collins-Johnson,Contacted,Email Campaign,Retail,2786035,445,2764 Jennifer Groves Apt. 739,Port Jared,South Dakota,54799,Mexico
Sarah,Watson,patrickmartinez@example.com,(258)768-5308,Wilson PLC,New,Email Campaign,Healthcare,3593481,855,0024 Ford Locks,Blackchester,Louisiana,56381,Tajikistan
Robert,Perez,qjohnson@example.net,001-765-262-5657x7055,Lewis LLC,Contacted,Referral,Finance,1694245,927,5568 Samuel Avenue Suite 075,East Michaelburgh,Montana,35730,Oman
Beverly,Martinez,kimberly61@example.com,2749065890,Mathews Group,Qualified,Referral,Technology,5276333,904,6843 Mary River Suite 653,Feliciaton,Alaska,76997,Western Sahara
Cassandra,Gilmore,perezangelica@example.com,906-657-7238,"Perkins, Hamilton and Oconnor",Lost,Social Media,Education,5742704,238,4841 Amy Junction Apt. 203,Kentchester,Montana,45053,Slovenia
Brendan,Fisher,robertberry@example.net,240.311.5774x479,Frank-Aguilar,Qualified,Web,Retail,1095715,230,211 Wesley Summit Apt. 114,South Cherylchester,North Carolina,53997,Ecuador
John,Griffin,englishjoann@example.net,771-701-8563,Oliver LLC,Qualified,Social Media,Healthcare,1098267,567,494 Bryant Locks,New Lisa,New Jersey,74871,Guyana
Terri,Taylor,qhull@example.net,567-287-0121,Vargas LLC,Converted,Email Campaign,Education,3687759,170,56429 Victor Mission,Johnsonmouth,Arkansas,10862,Singapore
Jose,Smith,candace98@example.org,793.454.2090,Crawford Inc,Lost,Email Campaign,Healthcare,5866699,878,20066 Finley Field,Kennethborough,North Dakota,90943,Suriname
Steven,Brooks,mcneilerica@example.org,982.720.2253x23851,"Nelson, Williams and Morales",Converted,Advertisement,Technology,8994033,41,654 Matthew Pines Suite 894,Leeberg,Alabama,2499,Belgium
Bradley,Richard,samanthabaker@example.net,+1-369-725-1890x2590,Guerrero PLC,Lost,Social Media,Finance,1931912,437,6723 Gwendolyn Oval,Port Teresabury,Nebraska,98806,South Africa
Megan,Maldonado,wongjerry@example.com,741.639.4032x5900,Mcclure PLC,Converted,Email Campaign,Education,6760737,2,5518 Kim Parkways,Bethbury,Wyoming,39439,Peru
Brian,Herrera,mikaylasmith@example.org,909-859-0751,"Lester, Taylor and Stephenson",Contacted,Advertisement,Finance,4858965,770,972 Ellis Avenue,Lake Maria,Connecticut,52827,Cyprus
Sandra,Collins,hsanders@example.org,(714)403-8010,"Crawford, Lewis and Schwartz",Qualified,Email Campaign,Healthcare,8608881,720,881 Lynn Bridge Apt. 321,East William,Connecticut,66592,Mayotte
Tyrone,Perry,matthewbartlett@example.net,777.234.0529,Davis-Hobbs,Lost,Referral,Finance,8287379,27,159 Grant Turnpike Apt. 871,Stephanieview,Georgia,99939,Sweden
Robert,Johnson,qcaldwell@example.net,+1-330-639-0860x90648,White-Rodriguez,Lost,Email Campaign,Healthcare,6573246,480,53825 Kristi Haven,Grantton,New Hampshire,35640,Spain
Laura,Hawkins,dunlapangela@example.org,791-929-1704,Giles-Murray,Converted,Referral,Retail,9960245,957,54268 Jody Corner Apt. 491,Costabury,Florida,76906,Taiwan
Shawn,Cantu,wstephens@example.org,(816)281-8555,"Ramirez, Brown and Mcgee",Converted,Advertisement,Healthcare,720072,792,5436 Stokes Ford Suite 193,Jasonfort,Maine,81661,North Macedonia
Mary,Wyatt,austinbrown@example.net,655.266.0877x0427,Fletcher-Scott,New,Email Campaign,Technology,3743243,717,0847 Carolyn Canyon Suite 381,West William,New Jersey,78296,Rwanda
Louis,Mercado,buckjasmine@example.com,001-996-480-5284x7652,"Schroeder, Smith and Brown",New,Social Media,Finance,794297,677,89679 Ricardo Course,Samuelmouth,Ohio,46482,Italy
Andre,Obrien,amandahartman@example.com,+1-283-303-1138x71989,Lane PLC,Qualified,Social Media,Education,3128128,329,472 Jennifer Route Suite 817,East Christine,North Carolina,82263,Saudi Arabia
Michelle,Brown,denisetaylor@example.net,001-822-372-9125x071,Fisher LLC,New,Web,Retail,3989256,868,1532 Nelson Points Suite 136,Tracyshire,New Mexico,21313,Honduras
Arthur,Hays,jose39@example.com,001-860-687-2117x3592,"Howard, Solis and Martin",Converted,Advertisement,Education,219750,353,422 Hansen Lakes Suite 364,Davidport,Delaware,42527,Gabon
Benjamin,Russell,scott53@example.org,001-451-367-2128x323,Boyd and Sons,New,Advertisement,Education,8458458,389,86837 Bethany Creek,Frederickport,Iowa,98337,Botswana
Anna,Cook,ruizgina@example.org,001-480-471-3411x957,Patterson-Williams,Qualified,Email Campaign,Technology,3000089,636,858 Moran Terrace,West Lisa,Kansas,54995,Poland
Jamie,Bailey,charlesmichael@example.net,740.301.5566,Johnson-Payne,Contacted,Email Campaign,Education,8278533,522,774 Pamela Meadows Suite 834,South Denise,New Hampshire,98023,Lithuania
Lawrence,Wiley,adamserica@example.com,555-490-9684,King Inc,Lost,Advertisement,Finance,8568961,536,962 Margaret Tunnel Suite 470,Lake Bridgetmouth,Kentucky,40391,Turkey
Nathan,Mccoy,carl26@example.net,-3801,Lawson LLC,Converted,Email Campaign,Healthcare,9727761,324,19884 Joseph Fall,East Megan,Virginia,6789,Cocos (Keeling) Islands
Brandy,Dixon,williamgibbs@example.net,001-495-521-2915,Young-Taylor,New,Advertisement,Education,5073909,357,576 Lauren Rapids Suite 756,East Christopherchester,South Carolina,91382,Ireland
Chelsea,Martin,kallen@example.org,(780)237-3622x46415,Ramirez-Contreras,Qualified,Referral,Education,669934,125,536 Ashley Prairie,Monicafort,Mississippi,20710,Senegal
Timothy,Tyler,khale@example.net,535.727.0010x74809,Brown Group,Qualified,Social Media,Retail,950141,802,6072 Brewer Dam Suite 779,North Lucasstad,Ohio,70492,Kazakhstan
Justin,Morales,williamharris@example.org,(554)404-3399x51411,"Duncan, Gonzalez and Mendez",New,Social Media,Technology,6719011,998,38988 Kevin Spurs Suite 231,Fosterhaven,Colorado,73810,Lao People's Democratic Republic
Paul,Bryant,timothy39@example.com,769.991.4749x6370,Holden Ltd,Qualified,Advertisement,Retail,970465,481,05417 Brittany River,Port Jeffery,Alabama,72358,Eritrea
Dylan,Prince,wmerritt@example.com,536-616-7192,Jones PLC,Converted,Advertisement,Education,7605418,929,6983 Parker Walks Apt. 682,Port Jessica,Maine,43231,Comoros
Angela,Jefferson,david73@example.com,+1-997-220-6912x78222,Gomez-Crane,Converted,Email Campaign,Retail,5125609,695,863 Johnson Ridges,North Ashley,Nevada,22847,Vanuatu
David,Scott,stephanie18@example.com,+1-219-654-7972x5798,Durham-Fernandez,Converted,Referral,Finance,8402502,939,9225 Foley Lock,Brownburgh,Alabama,43264,Panama
Tami,Smith,njohnson@example.com,+1-526-557-8260x68854,Sanchez-Shaw,Converted,Advertisement,Retail,3958323,72,99419 Alec Forges,North Tracey,South Dakota,71221,Barbados
Lisa,Leon,linda95@example.org,252.862.1166x9794,"Thompson, Palmer and Costa",Qualified,Social Media,Finance,6435536,260,3504 Karen Avenue,Leechester,Nevada,41038,Kiribati
